ID,Package,CWE,CVE,Date,Disclosed_Date,Platform,Version Range,GitHub URL,Source
SNYK-DOTNET-OWASPANTISAMY-6143125,owasp.antisamy,CWE-79,CVE-2023-51652,3 Jan 2024,2 Jan 2024,NuGet,"['[,1.2.0)']",,Snyk
SNYK-DOTNET-SNOWFLAKEDATA-6139190,snowflake.data,CWE-295,CVE-2023-51662,24 Dec 2023,22 Dec 2023,NuGet,"['[2.0.25,2.1.5)']",,Snyk
SNYK-DOTNET-JELLYFINCONTROLLER-6124885,jellyfin.controller,CWE-94,CVE-2023-48702,14 Dec 2023,13 Dec 2023,NuGet,"['[,10.8.13)']",https://github.com/jellyfin/jellyfin,Snyk
SNYK-DOTNET-UMBRACOCMSCORE-6124624,umbracocms.core,CWE-22,CVE-2023-49089,13 Dec 2023,12 Dec 2023,NuGet,"['[8.0.0,8.18.10)']",,Snyk
SNYK-DOTNET-UMBRACOCMS-6124620,umbraco.cms,CWE-79,CVE-2023-49279,13 Dec 2023,12 Dec 2023,NuGet,"['[7.0.0,7.15.11)', '[8.0.0,8.18.9)', '[9.0.0,10.7.0)', '[11.0.0,11.5.0)', '[12.0.0,12.2.0)']",https://github.com/umbraco/Umbraco-CMS,Snyk
SNYK-DOTNET-UMBRACOCMSWEB-6124040,umbracocms.web,CWE-79,CVE-2023-48313,13 Dec 2023,12 Dec 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-UMBRACOCMSWEB-6124041,umbracocms.web,CWE-863,CVE-2023-49273,13 Dec 2023,12 Dec 2023,NuGet,"['[8.0.0,8.18.10)']",,Snyk
SNYK-DOTNET-UMBRACOCMSWEB-6123906,umbracocms.web,CWE-863,CVE-2023-48227,13 Dec 2023,12 Dec 2023,NuGet,"['[8.0.0,8.18.10)']",,Snyk
SNYK-DOTNET-UMBRACOCMSWEB-6124075,umbracocms.web,CWE-79,CVE-2023-38694,13 Dec 2023,12 Dec 2023,NuGet,"['[8.0.0,8.18.10)']",,Snyk
SNYK-DOTNET-SQUIDEXCLIENTLIBRARY-6102497,squidex.clientlibrary,CWE-79,CVE-2023-46857,7 Dec 2023,7 Dec 2023,NuGet,"['[,7.9.0)']",https://github.com/Squidex/squidex,Snyk
SNYK-DOTNET-PUBNUB-6098372,pubnub,CWE-331,CVE-2023-26154,5 Dec 2023,13 Aug 2023,NuGet,"['[,6.19.0)']",https://github.com/pubnub/javascript,Snyk
SNYK-DOTNET-ANGULARJSCORE-6084031,angularjs.core,CWE-79,CVE-2022-25869,24 Nov 2023,14 Jul 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-ANGULARJSCORE-6084030,angularjs.core,CWE-1333,CVE-2023-26118,24 Nov 2023,26 Mar 2023,NuGet,"['[1.4.9,]']",,Snyk
SNYK-DOTNET-ANGULARJSCORE-6084029,angularjs.core,CWE-1333,CVE-2023-26117,24 Nov 2023,26 Mar 2023,NuGet,"['[1.0.0,]']",,Snyk
SNYK-DOTNET-ANGULARJSCORE-6084028,angularjs.core,CWE-1333,CVE-2023-26116,24 Nov 2023,26 Mar 2023,NuGet,"['[1.2.21,]']",,Snyk
SNYK-DOTNET-SELENIUMWEBDRIVER-6062317,selenium.webdriver,CWE-476,CVE-2023-5590,16 Nov 2023,15 Oct 2023,NuGet,"['[,4.14.1)']",https://github.com/seleniumhq/selenium,Snyk
SNYK-DOTNET-TINYMCE-6062168,tinymce,CWE-79,CVE-2023-48219,16 Nov 2023,15 Nov 2023,NuGet,"['[,5.10.9)', '[6.0.0,6.7.3)']",,Snyk
SNYK-DOTNET-TINYMCE-6016291,tinymce,CWE-79,CVE-2023-45818,20 Oct 2023,19 Oct 2023,NuGet,"['[,5.10.8)', '[6.0.0,6.7.1)']",https://github.com/tinymce/tinymce,Snyk
SNYK-DOTNET-TINYMCE-6016277,tinymce,CWE-79,CVE-2023-45819,20 Oct 2023,19 Oct 2023,NuGet,"['[,5.10.8)', '[6.0.0,6.7.1)']",https://github.com/tinymce/tinymce,Snyk
SNYK-DOTNET-AZUREIDENTITY-6009155,azure.identity,CWE-94,CVE-2023-36414,19 Oct 2023,10 Oct 2023,NuGet,"['[,1.10.2)']",,Snyk
SNYK-DOTNET-BUNKUM-6008979,bunkum,CWE-772,CVE-2023-45814,19 Oct 2023,18 Oct 2023,NuGet,"['[4.0.0,4.2.1)']",https://github.com/LittleBigRefresh/Bunkum,Snyk
SNYK-DOTNET-FORGEOPENAI-6042148,forge.open.ai,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-CDATASNOWFLAKEAPI-6042152,cdata.snowflake.api,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-IAMROOT-6042145,iamroot,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-MONERO-6042142,monero,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-MINECRAFTPOCKETSERVER-6042144,minecraftpocket.server,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-KRAKENEXCHANGE-6041990,kraken.exchange,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-PATHOSCHILDSTARDEWMODBUILDCONFIG-6042149,pathoschild.stardew.mod.buildconfig,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-BETALGOOPENAI-6042147,betalgo.open.ai,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-ZENDESKAPICLIENTV2-6042146,zendeskapi.client.v2,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-MODERNWINFORMUI-6042143,modern.winform.ui,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-DISCORDSRPC-6041991,discordsrpc,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-CDATASALESFORCENETFRAMEWORK-6042151,cdata.salesforce.net.framework,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-SOLANAWALLET-6041992,solanawallet,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-KUCOINEXCHANGENET-6041989,kucoinexchange.net,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-PATHOSCHILDSTARDEWMODBUILDCONFIG-5961547,pathoschild.stardew.mod.build.config,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-CDATANETSUITENETFRAMEWORK-6042150,cdata.netsuite.net.framework,CWE-506,,12 Oct 2023,11 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-MICROSOFTNATIVEQUICMSQUICSCHANNEL-5960122,microsoft.native.quic.msquic.schannel,CWE-401,CVE-2023-36435,11 Oct 2023,10 Oct 2023,NuGet,"['[,2.2.3)']",https://github.com/microsoft/msquic,Snyk
SNYK-DOTNET-SSCMS-5929466,sscms,CWE-79,CVE-2023-43951,5 Oct 2023,3 Oct 2023,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-HTMLSANITIZER-5932097,htmlsanitizer,CWE-79,CVE-2023-44390,5 Oct 2023,4 Oct 2023,NuGet,"['[,8.0.723)', '[8.1.717-beta,8.1.722-beta)']",https://github.com/mganss/HtmlSanitizer,Snyk
SNYK-DOTNET-CURLTHINNATIVE-5933291,curlthin.native,CWE-73,CVE-2023-38546,5 Oct 2023,5 Oct 2023,NuGet,"['[0,]']",https://github.com/curl/curl,Snyk
SNYK-DOTNET-CURLTHINNATIVE-5933292,curlthin.native,CWE-122,CVE-2023-38545,4 Oct 2023,4 Oct 2023,NuGet,"['[0,]']",https://github.com/curl/curl,Snyk
SNYK-DOTNET-CEFSHARPCOMMON-5936337,cefsharp.common,CWE-122,CVE-2023-5217,28 Sep 2023,28 Sep 2023,NuGet,"['[,117.2.20)']",,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX86-5894303,microsoft.netcore.app.runtime.win-x86,CWE-94,CVE-2023-36794,13 Sep 2023,12 Sep 2023,NuGet,"['[7.0.0,7.0.11)', '[6.0.0,6.0.22)']",https://github.com/dotnet/core,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX86-5894230,microsoft.netcore.app.runtime.win-x86,CWE-94,CVE-2023-36796,13 Sep 2023,12 Sep 2023,NuGet,"['[6.0.0, 6.0.22)', '[7.0.0, 7.0.11)']",https://github.com/dotnet/runtime,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX64-5894124,microsoft.netcore.app.runtime.win-x64,CWE-94,CVE-2023-36793,13 Sep 2023,12 Sep 2023,NuGet,"['[6.0.0,6.0.22)', '[7.0.0,7.0.11)']",https://github.com/dotnet/core,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINARM64-5894122,microsoft.netcore.app.runtime.win-arm64,CWE-94,CVE-2023-36792,13 Sep 2023,12 Sep 2023,NuGet,"['[6.0.0, 6.0.21)', '[7.0.0, 7.0.11)']",https://github.com/dotnet/runtime,Snyk
SNYK-DOTNET-MICROSOFTNETBUILDCONTAINERS-5831351,microsoft.net.build.containers,CWE-94,CVE-2023-35390,9 Aug 2023,8 Aug 2023,NuGet,"['[,7.0.307)']",,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821401,microsoft.chakracore,CWE-94,CVE-2016-7194,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821400,microsoft.chakracore,CWE-94,CVE-2016-7189,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.1)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821399,microsoft.chakracore,CWE-94,CVE-2016-7190,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821398,microsoft.chakracore,CWE-94,CVE-2016-7200,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821397,microsoft.chakracore,CWE-94,CVE-2016-7202,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821396,microsoft.chakracore,CWE-94,CVE-2016-7208,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821395,microsoft.chakracore,CWE-94,CVE-2016-7240,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821394,microsoft.chakracore,CWE-94,CVE-2016-7201,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821393,microsoft.chakracore,CWE-94,CVE-2016-7203,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821392,microsoft.chakracore,CWE-94,CVE-2016-7243,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5821391,microsoft.chakracore,CWE-94,CVE-2016-7242,6 Aug 2023,14 May 2022,NuGet,"['[,1.2.2)']",https://github.com/chakra-core/ChakraCore,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-5815194,microsoft.chakracore.vc140,CWE-787,CVE-2019-1002,2 Aug 2023,24 May 2022,NuGet,"['[,1.11.10)']",,Snyk
SNYK-DOTNET-UMBRACOCMS-5808479,umbracocms,CWE-79,CVE-2018-17256,28 Jul 2023,14 May 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-DOTNETNUKECORE-5808478,dotnetnuke.core,CWE-79,CVE-2018-14486,28 Jul 2023,14 May 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-UMBRACOCMSCORE-5807990,umbracocms.core,CWE-611,CVE-2017-15280,27 Jul 2023,17 May 2022,NuGet,"['[,7.7.3)']",,Snyk
SNYK-DOTNET-UMBRACOCMSCORE-5807989,umbracocms.core,CWE-79,CVE-2017-15279,27 Jul 2023,17 May 2022,NuGet,"['[,7.7.3)']",,Snyk
SNYK-DOTNET-MICROSOFTCHAKRACORE-5803004,microsoft.chakracore,CWE-787,CVE-2018-8371,23 Jul 2023,13 May 2022,NuGet,"['[,1.10.1)']",,Snyk
SNYK-DOTNET-COREFTP-5790227,coreftp,CWE-22,CVE-2019-9648,20 Jul 2023,14 May 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-SSCMS-5777705,sscms,CWE-434,CVE-2019-11401,16 Jul 2023,24 May 2022,NuGet,"['[0,]']",https://github.com/siteserver/cms,Snyk
SNYK-DOTNET-UMBRACOCMS-5775819,umbracocms,CWE-434,CVE-2020-9471,14 Jul 2023,24 May 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-UMBRACOCMS-5775818,umbracocms,CWE-352,CVE-2020-7210,14 Jul 2023,24 May 2022,NuGet,"['[,8.5.1)']",,Snyk
SNYK-DOTNET-UMBRACOCMSCORE-5775815,umbracocms.core,CWE-79,CVE-2020-5809,14 Jul 2023,24 May 2022,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-MICROSOFTWINDOWSDESKTOPAPPRUNTIMEWINARM64-5772899,microsoft.windowsdesktop.app.runtime.win-arm64,CWE-94,CVE-2023-33127,12 Jul 2023,11 Jul 2023,NuGet,"['[6.0.0,6.0.20)', '[7.0.0,7.0.9)']",,Snyk
