ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
GHSA-pp3f-98qg-5g75,sigs.k8s.io/aws-iam-authenticator,CWE-20,13 Jul 2022,Go,https://github.com/kubernetes-sigs/aws-iam-authenticator,2200.0,88.0,278.0,105.0
GHSA-mhxj-85r3-2x55,file-type,CWE-835,22 Jul 2022,NPM,https://github.com/sindresorhus/file-type,3700.0,106.0,13.0,2215079.0
GHSA-p757-4v3p-j74f,idno/known,CWE-74,9 Jul 2022,Composer,https://github.com/idno/known,1000.0,69.0,342.0,0.0
GHSA-fr75-x856-q6j8,OctoBot,CWE-434,17 Jul 2022,PyPI,https://github.com/Drakkar-Software/OctoBot,3300.0,17.0,54.0,0.0
GHSA-f2gr-7299-487h,github.com/ipfs/go-ipfs,CWE-400,6 Jul 2022,Go,https://github.com/ipfs/go-ipfs,16100.000000000002,396.0,821.0,0.0
GHSA-9x4h-8wgm-8xfg,github.com/ipld/go-car,CWE-400,6 Jul 2022,Go,https://github.com/ipld/go-car,149.0,35.0,186.0,1541.0
GHSA-c58j-88f5-h53f,pycares,CWE-79,5 Jul 2022,PyPI,https://github.com/saghul/pycares,165.0,35.0,12.0,31174.0
GHSA-8mjr-jr5h-q2xr,openzeppelin-cairo-contracts,CWE-664,15 Jul 2022,PyPI,https://github.com/OpenZeppelin/cairo-contracts,813.0,57.0,50.0,0.0
GHSA-8r94-4h3c-939f,github.com/heroiclabs/nakama/v3,CWE-307,6 Jul 2022,Go,https://github.com/heroiclabs/nakama,8900.0,69.0,1164.0,10.0
GHSA-8rq8-f485-7v8x,rpc.py,CWE-502,9 Jul 2022,PyPI,https://github.com/abersheeran/rpc.py,191.0,3.0,59.0,0.0
GHSA-98g7-rxmf-rrxm,io.fabric8:kubernetes-client,CWE-502,15 Jul 2022,Maven,https://github.com/fabric8io/kubernetes-client,3400.0,322.0,2090.0,7610.0
GHSA-8274-h5jp-97vr,laminas/laminas-diactoros,CWE-79,27 Jul 2022,Composer,https://github.com/laminas/laminas-diactoros,473.0,102.0,81.0,0.0
GHSA-8294-mv9c-7m5h,eu.markov.jenkins.plugin.mvnmeta:maven-metadata-plugin,CWE-79,28 Jul 2022,Maven,https://github.com/jenkinsci/maven-metadata-plugin,4.0,0.0,11.0,0.0
GHSA-7488-6x3r-23w5,ganga,CWE-22,13 Jul 2022,PyPI,https://github.com/ganga-devs/ganga,99.0,77.0,26.0,37.0
GHSA-768m-5w34-2xf5,packbackbooks/lti-1-3-php-library,CWE-327,15 Jul 2022,Composer,https://github.com/packbackbooks/lti-1-3-php-library,39.0,0.0,13.0,28.0
GHSA-697v-pxg3-j262,org.togglz:togglz-console,CWE-352,15 Jul 2022,Maven,https://github.com/togglz/togglz,963.0,97.0,1152.0,380.0
GHSA-5pgm-3j3g-2rc7,cuyz/valinor,CWE-200,12 Jul 2022,Composer,https://github.com/CuyZ/Valinor,1300.0,39.0,118.0,183.0
GHSA-687h-86vc-5x59,chainerrl-visualizer,CWE-22,12 Jul 2022,PyPI,https://github.com/chainer/chainerrl-visualizer,53.0,6.0,757.0,0.0
GHSA-2v6r-jf2g-j5q5,org.jenkins-ci.plugins:rich-text-publisher-plugin,CWE-79,1 Jul 2022,Maven,https://github.com/jenkinsci/rich-text-publisher-plugin,3.0,0.0,11.0,0.0
GHSA-376v-xgjx-7mfr,fastify-bearer-auth,CWE-203,15 Jul 2022,NPM,https://github.com/fastify/fastify-bearer-auth,151.0,31.0,10.0,145.0
GHSA-2cpx-6pqp-wf35,co.fs2:fs2-io,CWE-295,29 Jul 2022,Maven,https://github.com/typelevel/fs2,2400.0,271.0,977.0,0.0
GHSA-2g86-r6w2-wqqr,com.alibaba.nacos:nacos-client,CWE-287,6 Jul 2022,Maven,https://github.com/alibaba/nacos,30100.0,387.0,1553.0,8042.0
GHSA-xggc-qprg-x6mw,github.com/weaveworks/weave-gitops,CWE-200,23 Jun 2022,Go,https://github.com/weaveworks/weave-gitops,914.0,83.0,2389.0,0.0
GHSA-wwjw-r3gj-39fq,typo3/cms-core,CWE-613,17 Jun 2022,Composer,https://github.com/TYPO3-CMS/core,25.0,383.0,90.0,6568.0
GHSA-x2pg-mjhr-2m5x,semantic-release,CWE-200,9 Jun 2022,NPM,https://github.com/semantic-release/semantic-release,20700.0,235.0,993.0,105296.0
GHSA-x95w-qf3m-pqpx,aendter.jenkins.plugins:filesystem-list-parameter-plugin,CWE-79,24 Jun 2022,Maven,https://github.com/jenkinsci/filesystem-list-parameter-plugin,6.0,7.0,4.0,0.0
GHSA-x9jp-4w8m-4f3c,django-jsonform,CWE-79,10 Jun 2022,PyPI,https://github.com/bhch/django-jsonform,338.0,16.0,5.0,0.0
