REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2021-07-01 00:00:00,2021-12-31 00:00:00,8,85
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2022-01-01 00:00:00,2022-06-30 00:00:00,8,90
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2022-07-01 00:00:00,2022-12-31 00:00:00,3,92
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2023-01-01 00:00:00,2023-06-30 00:00:00,12,102
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2023-07-01 00:00:00,2023-12-31 00:00:00,2,102
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2024-01-01 00:00:00,2024-06-30 00:00:00,0,102
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2024-07-01 00:00:00,2024-12-31 00:00:00,1,102
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2017-01-01 00:00:00,2017-06-30 00:00:00,4,4
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2017-07-01 00:00:00,2017-12-31 00:00:00,3,4
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2018-01-01 00:00:00,2018-06-30 00:00:00,5,5
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2018-07-01 00:00:00,2018-12-31 00:00:00,5,6
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2019-01-01 00:00:00,2019-06-30 00:00:00,4,6
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2019-07-01 00:00:00,2019-12-31 00:00:00,4,6
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2020-01-01 00:00:00,2020-06-30 00:00:00,3,6
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2020-07-01 00:00:00,2020-12-31 00:00:00,3,6
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2021-01-01 00:00:00,2021-06-30 00:00:00,4,7
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2021-07-01 00:00:00,2021-12-31 00:00:00,4,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2022-01-01 00:00:00,2022-06-30 00:00:00,3,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2022-07-01 00:00:00,2022-12-31 00:00:00,2,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2023-01-01 00:00:00,2023-06-30 00:00:00,4,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2023-07-01 00:00:00,2023-12-31 00:00:00,4,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2024-01-01 00:00:00,2024-06-30 00:00:00,4,8
GHSA-2h3j-m7gr-25xj,pdfbox,https://github.com/apache/pdfbox,2024-07-01 00:00:00,2024-12-31 00:00:00,3,8
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2017-01-01 00:00:00,2017-06-30 00:00:00,2,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2017-07-01 00:00:00,2017-12-31 00:00:00,1,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2018-01-01 00:00:00,2018-06-30 00:00:00,0,2
